Date,Close
2021-01-04,207.95611572265625
2021-01-05,208.15672302246094
2021-01-06,202.75938415527344
2021-01-07,208.529296875
2021-01-08,209.7998504638672
2021-01-11,207.7650909423828
2021-01-12,205.3195343017578
2021-01-13,206.66647338867188
2021-01-14,203.49496459960938
2021-01-15,203.14149475097656
2021-01-19,206.76202392578125
2021-01-20,214.30877685546875
2021-01-21,214.91061401367188
2021-01-22,215.8468017578125
2021-01-25,219.26670837402344
2021-01-26,221.94149780273438
2021-01-27,222.4859619140625
2021-01-28,228.2463836669922
2021-01-29,221.5880584716797
2021-02-01,228.93418884277344
2021-02-02,228.8004608154297
2021-02-03,232.13438415527344
2021-02-04,231.18865966796875
2021-02-05,231.3701629638672
2021-02-08,231.62808227539062
2021-02-09,232.86997985839844
2021-02-10,231.96246337890625
2021-02-11,233.5577850341797
2021-02-12,234.03543090820312
2021-02-16,232.80308532714844
2021-02-17,233.8180389404297
2021-02-18,233.4254913330078
2021-02-19,230.725341796875
2021-02-22,224.53997802734375
2021-02-23,223.35272216796875
2021-02-24,224.57826232910156
2021-02-25,219.25466918945312
2021-02-26,222.5005645751953
2021-03-01,226.86666870117188
2021-03-02,223.9272003173828
2021-03-03,217.88546752929688
2021-03-04,217.09078979492188
2021-03-05,221.75372314453125
2021-03-08,217.72267150878906
2021-03-09,223.8410186767578
2021-03-10,222.5388641357422
2021-03-11,227.04859924316406
2021-03-12,225.7272491455078
2021-03-15,224.8272247314453
2021-03-16,227.60394287109375
2021-03-17,226.96243286132812
2021-03-18,220.91111755371094
2021-03-19,220.5568389892578
2021-03-22,225.95706176757812
2021-03-23,227.4794921875
2021-03-24,225.44960021972656
2021-03-25,222.4622039794922
2021-03-26,226.42626953125
2021-03-29,225.23895263671875
2021-03-30,221.9930877685547
2021-03-31,225.74642944335938
2021-04-01,232.04666137695312
2021-04-05,238.4810028076172
2021-04-06,237.32241821289062
2021-04-07,239.27569580078125
2021-04-08,242.48324584960938
2021-04-09,244.97274780273438
2021-04-12,245.03016662597656
2021-04-13,247.50051879882812
2021-04-14,244.72378540039062
2021-04-15,248.46755981445312
2021-04-16,249.6548309326172
2021-04-19,247.73985290527344
2021-04-20,247.28025817871094
2021-04-21,249.5015869140625
2021-04-22,246.23663330078125
2021-04-23,250.04745483398438
2021-04-26,250.4303741455078
2021-04-27,250.83253479003906
2021-04-28,243.73756408691406
2021-04-29,241.77476501464844
2021-04-30,241.45877075195312
2021-05-03,241.15237426757812
2021-05-04,237.2554168701172
2021-05-05,235.99156188964844
2021-05-06,239.1129150390625
2021-05-07,241.72686767578125
2021-05-10,236.6713409423828
2021-05-11,235.7617645263672
2021-05-12,228.83912658691406
2021-05-13,232.69776916503906
2021-05-14,237.60006713867188
2021-05-17,234.75637817382812
2021-05-18,232.7456512451172
2021-05-19,233.32147216796875
2021-05-20,236.5460205078125
2021-05-21,235.288818359375
2021-05-24,240.6727752685547
2021-05-25,241.57484436035156
2021-05-26,241.35414123535156
2021-05-27,239.26197814941406
2021-05-28,239.61708068847656
2021-06-01,237.428955078125
2021-06-02,237.3330078125
2021-06-03,235.8070831298828
2021-06-04,240.6822967529297
2021-06-07,243.58062744140625
2021-06-08,242.39059448242188
2021-06-09,243.36949157714844
2021-06-10,246.87237548828125
2021-06-11,247.4962158203125
2021-06-14,249.41558837890625
2021-06-15,247.9472198486328
2021-06-16,247.0067596435547
2021-06-17,250.38482666015625
2021-06-18,248.97413635253906
2021-06-21,252.04515075683594
2021-06-22,254.8091278076172
2021-06-23,254.5786895751953
2021-06-24,255.9415283203125
2021-06-25,254.3388214111328
2021-06-28,257.88970947265625
2021-06-29,260.46173095703125
2021-06-30,259.98187255859375
2021-07-01,260.6535949707031
2021-07-02,266.4598388671875
2021-07-06,266.46942138671875
2021-07-07,268.64788818359375
2021-07-08,266.2391357421875
2021-07-09,266.73809814453125
2021-07-12,266.1430969238281
2021-07-13,269.65557861328125
2021-07-14,271.1239318847656
2021-07-15,269.7036437988281
2021-07-16,269.434814453125
2021-07-19,265.8456115722656
2021-07-20,268.06256103515625
2021-07-21,270.0586853027344
2021-07-22,274.6076965332031
2021-07-23,277.995361328125
2021-07-26,277.400390625
2021-07-27,274.99151611328125
2021-07-28,274.6844482421875
2021-07-29,274.953125
2021-07-30,273.42724609375
2021-08-02,273.34075927734375
2021-08-03,275.5481262207031
2021-08-04,274.9626770019531
2021-08-05,277.8514099121094
2021-08-06,277.79376220703125
2021-08-09,276.7093505859375
2021-08-10,274.8955383300781
2021-08-11,275.385009765625
2021-08-12,278.1297302246094
2021-08-13,281.047119140625
2021-08-16,282.7265625
2021-08-17,281.2679443359375
2021-08-18,279.54681396484375
2021-08-19,285.35443115234375
2021-08-20,292.6524658203125
2021-08-23,292.93133544921875
2021-08-24,290.9794616699219
2021-08-25,290.3927917480469
2021-08-26,287.585205078125
2021-08-27,288.19097900390625
2021-08-30,291.912109375
2021-08-31,290.2679138183594
2021-09-01,290.2198486328125
2021-09-02,289.56591796875
2021-09-03,289.5563659667969
2021-09-07,288.6332092285156
2021-09-08,288.6620788574219
2021-09-09,285.81591796875
2021-09-10,284.3352355957031
2021-09-13,285.5660400390625
2021-09-14,288.2583312988281
2021-09-15,293.09478759765625
2021-09-16,293.4794006347656
2021-09-17,288.3351745605469
2021-09-20,282.9794921875
2021-09-21,283.4601745605469
2021-09-22,287.09478759765625
2021-09-23,288.0371398925781
2021-09-24,287.8352355957031
2021-09-27,282.8544006347656
2021-09-28,272.6141357421875
2021-09-29,273.07568359375
2021-09-30,271.0757141113281
2021-10-01,277.9794616699219
2021-10-04,272.2198181152344
2021-10-05,277.6525573730469
