Date,Close
2021-01-04,209.13937377929688
2021-01-05,206.01805114746094
2021-01-06,204.20286560058594
2021-01-07,205.3457489013672
2021-01-08,206.9208221435547
2021-01-11,204.46214294433594
2021-01-12,200.5917205810547
2021-01-13,201.06228637695312
2021-01-14,193.86883544921875
2021-01-15,193.60952758789062
2021-01-19,193.6767120361328
2021-01-20,197.85452270507812
2021-01-21,197.01898193359375
2021-01-22,194.02249145507812
2021-01-25,193.02366638183594
2021-01-26,194.01287841796875
2021-01-27,187.25157165527344
2021-01-28,190.3729248046875
2021-01-29,185.59967041015625
2021-02-01,190.50738525390625
2021-02-02,194.589111328125
2021-02-03,193.38861083984375
2021-02-04,200.9662628173828
2021-02-05,200.5052947998047
2021-02-08,198.69969177246094
2021-02-09,198.3443603515625
2021-02-10,198.26751708984375
2021-02-11,202.6345672607422
2021-02-12,201.96121215820312
2021-02-16,199.97972106933594
2021-02-17,199.60455322265625
2021-02-18,201.3744659423828
2021-02-19,196.93045043945312
2021-02-22,200.3837432861328
2021-02-23,204.0293426513672
2021-02-24,211.07040405273438
2021-02-25,205.60682678222656
2021-02-26,204.29861450195312
2021-03-01,208.37710571289062
2021-03-02,207.54986572265625
2021-03-03,206.66493225097656
2021-03-04,203.4425506591797
2021-03-05,207.20355224609375
2021-03-08,211.87841796875
2021-03-09,211.96499633789062
2021-03-10,214.66793823242188
2021-03-11,217.53440856933594
2021-03-12,215.81260681152344
2021-03-15,214.7641143798828
2021-03-16,216.1396484375
2021-03-17,214.52366638183594
2021-03-18,212.25357055664062
2021-03-19,199.0177764892578
2021-03-22,200.07589721679688
2021-03-23,200.2201690673828
2021-03-24,200.14324951171875
2021-03-25,200.0470733642578
2021-03-26,205.3952178955078
2021-03-29,206.33787536621094
2021-03-30,203.82728576660156
2021-03-31,203.6637725830078
2021-04-01,208.59829711914062
2021-04-05,210.69528198242188
2021-04-06,210.3201446533203
2021-04-07,210.91653442382812
2021-04-08,212.2920379638672
2021-04-09,214.04270935058594
2021-04-12,213.03271484375
2021-04-13,212.59988403320312
2021-04-14,213.5232696533203
2021-04-15,217.6595001220703
2021-04-16,217.7845458984375
2021-04-19,217.18814086914062
2021-04-20,214.7737579345703
2021-04-21,218.78488159179688
2021-04-22,218.9003448486328
2021-04-23,221.23777770996094
2021-04-26,221.56480407714844
2021-04-27,221.15121459960938
2021-04-28,224.55633544921875
2021-04-29,227.83641052246094
2021-04-30,224.66209411621094
2021-05-03,223.74830627441406
2021-05-04,223.19044494628906
2021-05-05,220.47784423828125
2021-05-06,222.50746154785156
2021-05-07,223.2770233154297
2021-05-10,217.36131286621094
2021-05-11,216.88995361328125
2021-05-12,212.22471618652344
2021-05-13,215.52883911132812
2021-05-14,218.61143493652344
2021-05-17,218.1297607421875
2021-05-18,217.29171752929688
2021-05-19,216.34767150878906
2021-05-20,218.1297607421875
2021-05-21,218.44764709472656
2021-05-24,220.904052734375
2021-05-25,220.61508178710938
2021-05-26,218.7366485595703
2021-05-27,218.53436279296875
2021-05-28,218.95823669433594
2021-06-01,218.3128204345703
2021-06-02,221.23158264160156
2021-06-03,219.73846435546875
2021-06-04,221.69395446777344
2021-06-07,222.8306427001953
2021-06-08,223.53387451171875
2021-06-09,223.78433227539062
2021-06-10,225.36416625976562
2021-06-11,226.33706665039062
2021-06-14,225.48939514160156
2021-06-15,224.42974853515625
2021-06-16,221.173828125
2021-06-17,223.63018798828125
2021-06-18,221.95407104492188
2021-06-21,225.72055053710938
2021-06-22,227.27149963378906
2021-06-23,226.0673370361328
2021-06-24,227.57009887695312
2021-06-25,228.61048889160156
2021-06-28,225.49900817871094
2021-06-29,227.2907257080078
2021-06-30,225.23892211914062
2021-07-01,226.5200958251953
2021-07-02,229.8723907470703
2021-07-06,230.80682373046875
2021-07-07,231.19212341308594
2021-07-08,227.926513671875
2021-07-09,229.71824645996094
2021-07-12,229.14027404785156
2021-07-13,233.4558868408203
2021-07-14,236.96229553222656
2021-07-15,239.4283447265625
2021-07-16,239.01412963867188
2021-07-19,231.58706665039062
2021-07-20,233.79299926757812
2021-07-21,234.71780395507812
2021-07-22,235.18019104003906
2021-07-23,239.88108825683594
2021-07-26,241.06591796875
2021-07-27,241.72097778320312
2021-07-28,237.87741088867188
2021-07-29,238.82150268554688
2021-07-30,237.34759521484375
2021-08-02,230.98016357421875
2021-08-03,228.38897705078125
2021-08-04,227.98434448242188
2021-08-05,231.3944549560547
2021-08-06,232.54074096679688
2021-08-09,231.19212341308594
2021-08-10,229.3329315185547
2021-08-11,226.43336486816406
2021-08-12,223.58779907226562
2021-08-13,224.4173583984375
2021-08-16,227.031494140625
2021-08-17,226.23086547851562
2021-08-18,223.43348693847656
2021-08-19,223.37557983398438
2021-08-20,223.1730194091797
2021-08-23,225.85462951660156
2021-08-24,225.9511260986328
2021-08-25,224.35946655273438
2021-08-26,222.3627471923828
2021-08-27,224.4559326171875
2021-08-30,223.04763793945312
2021-08-31,220.9929962158203
2021-09-01,221.97689819335938
2021-09-02,216.24710083007812
2021-09-03,217.14418029785156
2021-09-07,218.26312255859375
2021-09-08,220.98333740234375
2021-09-09,219.4399871826172
2021-09-10,216.9512481689453
2021-09-13,216.68115234375
2021-09-14,215.13780212402344
2021-09-15,215.89019775390625
2021-09-16,216.39181518554688
2021-09-17,213.90309143066406
2021-09-20,212.2632293701172
2021-09-21,212.3789825439453
